course_id,course_title,course_description,program_outcomes,level,semester
CPE401,Computer Architecture and Organization,"This course examines the structural and functional characteristics of computer systems, focusing on the organization and design of digital computing systems. It covers processor micro-architecture, pipelining, cache memory, and virtual memory, as well as CPU configuration and hardware–software trade-offs. The course further introduces parallel computing concepts such as SIMD, MIMD, VLIW, EPIC, systolic architecture, interconnection networks, shared memory systems, cache coherence, and memory models. Advanced topics include superscalar architecture, branch prediction, pre-fetching, speculative execution, multithreaded architecture, scalability, symmetric multiprocessors, and parallel computer systems.",Analyze CPU components; design digital systems; evaluate hardware/software tradeoffs; understand parallel computing architectures,400,1
CSC403,Principles of Compilers,"This course introduces the fundamental concepts of compiler design and implementation. It covers lexical analysis using regular expressions, parsing techniques including context-free grammars, syntax trees, and both table-driven and recursive-descent parsing. Additional areas include symbol table management, code generation through tree walking, and different compilation approaches such as multipass, single-pass, and load-and-go systems. It also explores compiler implementation phases such as scanning and syntax-directed translation. Advanced topics include instruction selection, register allocation, optimization techniques, and the use of tools and program libraries in translation processes.",Explain compiler stages; implement lexical scanners; construct syntax trees; apply parsing techniques; optimize generated code,400,1
CPE405,Introduction to Microprocessor Technology & Micro-programming,"This course focuses on microprocessor systems and microprogramming principles. It covers input/output fundamentals such as handshaking, buffering, programmed I/O, and interrupt-driven I/O. It also examines interrupt structures including vectored and prioritized systems, external storage organization, buses, DMA, and arbitration protocols. The course introduces multiprocessor systems, parallel processing, RAID architectures, and multimedia support. It further explores microprocessor architecture and microprogramming models, including instruction repertoire design and microinstruction structure.",Design I/O interfaces; manage interrupt structures; program bus protocols; implement microprocessor/microprogramming models,400,1
CSC407,Techniques in Software Development,"This course provides an overview of software design concepts and principles, emphasizing software quality, abstraction, modularity, and refinement. It covers software architecture, control hierarchy, and data structure design, as well as architectural and data transformation mapping. Additional topics include interface design, optimization, human–computer interaction, procedural and object-oriented design, UML modeling, software reuse, and re-engineering. It also explores client–server systems and computer-aided software development methodologies.",Apply software design principles; practice software quality assurance; use design methodologies; integrate human-centered design,400,1
CPE409,Microprocessor Design Laboratory,"This course involves practical implementation of microcontroller and microprocessor-based systems. Students apply theoretical knowledge gained in microprocessor architecture and microprogramming to design and implement functional hardware and software solutions. The focus is on hands-on experimentation, system integration, and performance evaluation of microprocessor-based designs.",Apply architectural theory; execute microcontroller projects; translate theory into hardware implementation,400,1
CSC415,Operating Systems and System Programming,"This course examines the role, purpose, and evolution of operating systems. It covers core functionalities such as process management, resource allocation, and system services. It also explores design issues including efficiency, security, portability, and compatibility. Structuring methods such as monolithic, layered, microkernel, and modular architectures are discussed. Additional topics include system APIs, interrupt handling, user and kernel modes, protection mechanisms, and device management.",Design OS mechanisms; analyze efficiency/security issues; implement resource management strategies; manage device interrupts,400,2
CSC503,Individual Project I/II,"This course involves the application of theoretical and practical knowledge to solve real-world problems in computer science and engineering. Students are required to design, implement, and document a selected project, demonstrating problem-solving skills and technical competence. The outcome is a comprehensive project report and presentation.",Execute independent technical projects; conduct research; develop system solutions; document/present findings professionally,500,2
CSC505,Object-Oriented Systems Design,"This course focuses on software development using object-oriented programming principles, primarily in Java. It covers object-oriented concepts, GUI development, application design, team-based software development, and software architecture. The course also includes design patterns, APIs, and strategies for building large-scale software systems with graphical user interfaces.",Implement OOP libraries; design complex GUI applications; manage team-based software development workflows,500,2
CSC506,Industrial Application Studies,"This course provides students with industrial exposure through practical engagement in real-world environments. It involves defining mini-systems, proposing solutions, and implementing practical applications. Students are required to submit reports and present seminars based on their industrial experience while gaining insight into professional and research-oriented environments.",Apply industry standards; propose industrial system solutions; create technical reports; prepare for postgraduate research,500,1
CSC507,Computers in Society,"This course examines the impact of computer systems on society, including education, healthcare, business, and research. It explores the implications of networking technologies and the internet on communication and social development. Topics include artificial intelligence, professional ethics, computer crime, cybersecurity threats, and prevention strategies. The course also addresses societal challenges and responsibilities associated with computer usage.",Analyze societal impacts of computers; address ethical/professional issues; evaluate/mitigate cybersecurity risks,500,1
CSC508,Computer System Project Management,"This course focuses on managing computer-based projects effectively. It covers project planning, scheduling, budgeting, risk analysis, and software quality assurance. It also explores team roles, decision-making processes, and software configuration management. Additional topics include project tracking, measurement techniques, and the use of project management tools in software development environments.",Lead software teams; perform risk analysis; implement project scheduling/budgeting; manage quality assurance,500,2
CPE509,Hardware Design Laboratory,"This course provides practical exposure to digital system design and hardware implementation. Students engage in mini-projects that apply theoretical concepts in computer hardware design, focusing on system construction, testing, and evaluation.",Execute digital system design; implement hardware mini-projects; demonstrate proficiency in systems hardware,500,1
CPE510,Natural Language Processing & Application,"This course introduces computational methods for processing human language. It covers deterministic and stochastic grammars, parsing techniques, corpus-based methods, and information retrieval systems. It also includes language translation, speech recognition, speech synthesis, and natural language interfaces. Special attention is given to modeling local languages and designing web-based speech and language systems.",Apply NLP parsing algorithms; model local languages; develop speech recognition/synthesis systems; design web-based interfaces,500,2
CPE511,Computer Based Real-Time Systems,"This course explores the principles and design of real-time computing systems, including soft and hard real-time systems. It covers system configuration, scheduling, memory management, and fault tolerance. The course also examines analogue computing systems, real-time process control, and challenges such as system failures, risks, and recovery strategies.",Design real-time/hard-real-time systems; implement analog computing concepts; manage task scheduling/resource requirements,500,2
CSC513,Principles & Applications of Data Mining,"This course introduces data mining concepts including classification, prediction, and pattern discovery. It covers decision trees, neural networks, regression analysis, memory-based reasoning, survival analysis, and link analysis. Emphasis is placed on data preprocessing, model training, and interpretation of analytical results.",Apply data mining methodologies; build/analyze neural networks; predict/profile data patterns; evaluate mining algorithms,500,1
CSC515,Computer Graphics,"This course focuses on the fundamentals of computer graphics, including graphical software systems, color models, and geometric transformations. It covers affine transformations, viewing transformations, clipping techniques, and graphical object manipulation. The course also introduces animation concepts in both 2D and 3D environments.",Develop graphics software; apply color models/transformations; implement clipping/viewing; produce 2D/3D animations,500,2
CSC515,Database Design and Management,"This course covers relational database theory and design, including functional dependencies, normal forms, and data integrity constraints. It explores conceptual data modeling using ER and UML diagrams, distributed databases, transaction processing, concurrency control, and client-server architectures. It also addresses distributed query processing and database security.",Model data using ER/UML; normalize databases; implement relational integrity; manage distributed transaction systems,500,2
CPE517,Digital Computer Networks,"This course introduces computer networking principles, including network architectures, topologies, and protocols. It covers LANs, WANs, OSI model, and IEEE standards. Additional topics include communication media, distributed systems, multimedia networks, and internet technologies such as ARPANET and DECNET.",Design network topologies; explain ISO/OSI models; select appropriate network media; analyze web-based network technologies,500,1
CSC520,Expert Systems,"This course explores artificial intelligence-based expert systems, including knowledge representation, reasoning, and inference mechanisms. It covers system architecture, knowledge acquisition, frames, logic systems, and uncertainty handling. Implementation using AI tools such as PROLOG and LISP is also included.",Build expert system shells; apply knowledge engineering techniques; implement diagnostic systems using PROLOG or LISP,500,2
CPE521,Modelling and Simulation,"This course focuses on simulation techniques and modeling methodologies used in system analysis. It includes simulation programming environments, experimental design, testing tools, and model validation. Students also learn simulation languages and system behavior modeling techniques.",Use simulation tools; design experimental models; manage system configurations; analyze simulation languages,500,2
CSC522,Information Storage and Retrieval,"This course covers techniques for storing, indexing, and retrieving information from large datasets. It includes text processing, indexing structures, relevance ranking, and information retrieval models. Topics also include digital libraries, metadata, search strategies, and user behavior analysis.",Implement information indexing; apply metadata standards; evaluate search/ranking algorithms; manage digital library systems,500,2
CSC523,Mathematical Programming,"This course introduces mathematical techniques used in optimization and problem-solving. It includes linear programming, simplex method, duality, integer programming, combinatorics, recurrence relations, and graph theory. It also covers computational methods for solving optimization problems.",Solve linear programming problems; apply combinatorial logic; perform algorithm complexity analysis using the Master Theorem,500,2
CSC525,Techniques in Data Analysis,"This course focuses on statistical methods and computational techniques for data analysis. It includes data collection, cleaning, descriptive statistics, regression analysis, and non-parametric tests. The course also involves practical implementation using statistical software such as SPSS and interpretation of analytical results.",Perform data cleaning; execute statistical tests; implement algorithms in statistical software; interpret analytical findings,500,2
